company_id,company_name,broad_sector,sub_sector,year,net_profit_margin_pct_final,operating_profit_margin_pct_final,return_on_equity_pct_final,return_on_assets_pct,return_on_capital_employed_pct,debt_to_equity_final,interest_coverage_final,debt_to_assets_pct,borrowings_to_equity_pct,asset_turnover_final,sales_to_assets,sales_to_fixed_assets,free_cash_flow_cr_final,cash_from_operations_cr_final,fcf_margin_pct,cfo_to_net_profit,capex_to_sales_pct,pe_ratio_final,pb_ratio_final,ev_ebitda_final,dividend_yield_pct_final,market_cap_crore_final,enterprise_value_crore_final,earnings_per_share_final,book_value_per_share_final,dividend_payout_ratio_pct_final,sales_growth_pct,net_profit_growth_pct,eps_growth_pct,market_cap_growth_pct,total_assets_final,total_liabilities_final,reserves_final,borrowings_final,health_score,health_band
HDFCBANK,HDFC Bank Ltd,Financials,Private Banks,2024-03,23.07,-44685.0,14.34,1.6238920508541277,4.887794207353858,6.8088,1.4008,77.10554380260602,680.8786667718385,0.0704,0.0703809791786698,22.504681053633767,35669.0,19069.0,12.575048739815758,0.2913699844146319,5.852303374945795,,,,,,,84.0,60.0521,23.0,66.11558147978964,41.81455719517216,2.4390243902439046,,4030194.0,4030194.0,455636.0,3107503.0,38.19,Weak
PFC,Power Finance Corporation Ltd,Financials,Speciality Finance,2024-03,28.92,37.0,26.16,2.54707727671322,3.4859055120562927,8.5219,0.5804,82.97045752288288,852.1864217426122,0.0881,0.0880835748601615,119.77486910994764,-101229.0,-97820.0,-110.62311491891418,-3.6967612713049394,3.7253573458058313,,,,,,,60.0,3.0651,23.0,17.79517017661294,24.93979885735871,25.0,,1038877.0,1038877.0,97847.0,861961.0,43.17,Weak
ICICIBANK,ICICI Bank Ltd,Financials,Private Banks,2024-03,28.89,-14152.0,17.99,1.9492289334082888,5.2203495054405735,6.4456,1.3009,69.83773275077695,644.5624336310825,0.0675,0.0674753591592102,10.151202749140891,12547.0,157284.0,7.865668647659168,3.413207178663657,90.7350986734873,,,,,,,63.0,18.2309,16.0,31.758447801630503,29.948394010321188,28.57142857142858,,2364063.0,2364063.0,254739.0,1651008.0,43.72,Weak
KOTAKBANK,"Kotak Mahindra Bank Ltd
",Financials,Private Banks,2024-03,32.39,-13382.0,14.01,2.372513081844081,7.234918028249577,4.0037,1.2364,67.78642301935605,400.37392669190285,0.0733,0.0732570242045053,16.021937321937322,6766.0,15685.0,12.031224994220889,0.8611980453522209,15.859665344879708,,,,,,,92.0,13.0757,2.0,33.41794975208181,22.03015075376884,22.666666666666657,,767667.0,767667.0,128978.0,520374.0,43.85,Weak
BAJAJFINSV,Bajaj Finserv Ltd,Financials,Diversified Financials,2024-03,14.13,37.0,25.85,2.9018542467180857,11.706431579821396,4.7894,2.1971,53.763478875729184,478.9368120938867,0.2054,0.2053943414307379,20.23501374885426,-79634.0,-68674.0,-72.14400898697252,-4.403590894517474,9.929155115870342,,,,,,,51.0,37.9421,2.0,34.4941027390584,27.72317772317772,27.499999999999996,,537415.0,537415.0,60169.0,288933.0,44.02,Weak
RECLTD,REC Ltd,Financials,Speciality Finance,2024-03,29.77,101.0,20.4,2.5803050396668312,9.29915054435852,6.4249,1.6005,81.27969995859108,642.4917087238645,0.0867,0.0866796426792851,75.18512658227849,-59554.0,-57723.0,-125.33198644695582,-4.080805938494168,3.8533577456489256,,,,,,,54.0,2.6339,30.0,20.338854277465423,26.667860660875785,28.57142857142858,,548191.0,548191.0,66717.0,445568.0,44.51,Weak
CANBK,Canara Bank,Financials,Public Sector Banks,2024-03,13.94,-7745.0,16.72,1.0033107103630057,3.1565468283360034,14.8674,1.6107,89.23543567567286,1486.7419925542424,0.072,0.0719985042520674,8.96269564512205,13296.0,15046.0,12.030510590939114,0.976949548730602,1.583438141857961,,,,,,,17.0,5.079,19.0,28.68254060662514,35.75143234905245,41.66666666666667,,1535018.0,1535018.0,90319.0,1369780.0,44.53,Weak
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,Consumer Finance,2024-03,20.33,29.0,15.12,2.9802711607711085,4.304889074344531,3.994,0.6767,78.74457235384628,399.4034363699512,0.1466,0.1465685998082701,9.78698224852071,-31359.0,-31101.0,-86.17950972848192,-4.203405865657522,0.7090249532813014,,,,,,,39.0,13.0178,23.0,19.33621933621934,22.906976744186046,21.875,,248266.0,248266.0,48571.0,195496.0,45.45,Weak
GRASIM,Grasim Industries Ltd,Industrials,Diversified Industrials,2024-03,7.580000000000001,21.0,11.2,2.4085451668947577,12.043470751571032,1.5471,3.0158,33.280678255636765,154.70993649397087,0.3178,0.3178182841724175,1.3033414930244591,-33833.0,-10719.0,-25.831055597123186,-1.0798911948418295,17.647238467528897,,,,,,,85.0,66.6564,12.0,11.350285223630618,-10.3989889871818,-15.000000000000002,,412116.0,412116.0,88520.0,137155.0,45.52,Weak
ADANIGREEN,Adani Green Energy Ltd,Energy,Renewable Energy,2024-03,13.67,79.0,12.81,1.430420271098699,9.797568682054305,6.5953,1.7139,73.63031582771382,659.5281675818588,0.1047,0.1046704357105555,0.1480315971999229,-13347.0,7713.0,-144.76138828633404,6.121428571428571,228.4164859002169,,,,,,,7.0,0.6208,0.0,18.569958847736626,29.49640287769784,16.666666666666675,,88086.0,88086.0,8250.0,64858.0,45.83,Weak
