company_id,company_name,broad_sector,year,market_cap_crore_final,enterprise_value_crore_final,pe_ratio_final,pb_ratio_final,ev_ebitda_final,dividend_yield_pct_final,pe_flag,pb_flag,ev_ebitda_flag,health_score,health_band
ABB,Abbott India Ltd,Industrials,2024-03,,,,,,,Normal,Normal,Normal,46.84,Weak
ADANIENSOL,Adani Energy Solutions Ltd,Energy,2024-03,,,,,,,Normal,Normal,Normal,46.45,Weak
ADANIENT,Adani Enterprises Ltd,Industrials,2024-03,,,,,,,Normal,Normal,Normal,46.25,Weak
ADANIGREEN,Adani Green Energy Ltd,Energy,2024-03,,,,,,,Normal,Normal,Normal,45.83,Weak
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,2024-03,,,,,,,Normal,Normal,Normal,46.8,Weak
ADANIPOWER,Adani Power Ltd,Energy,2024-03,,,,,,,Normal,Normal,Normal,47.12,Weak
AMBUJACEM,Ambuja Cements Ltd,Materials,2024-03,,,,,,,Normal,Normal,Normal,46.54,Weak
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,2024-03,,,,,,,Normal,Normal,Normal,46.57,Weak
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,2024-03,,,,,,,Normal,Normal,Normal,46.77,Weak
AXISBANK,Axis Bank Ltd,Financials,2024-03,,,,,,,Normal,Normal,Normal,48.1,Weak
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,2024-03,,,,,,,Normal,Normal,Normal,47.04,Weak
BAJAJFINSV,Bajaj Finserv Ltd,Financials,2024-03,,,,,,,Normal,Normal,Normal,44.02,Weak
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,2024-03,,,,,,,Normal,Normal,Normal,51.79,Average
BAJFINANCE,Bajaj Finance Ltd,Financials,2024-03,,,,,,,Normal,Normal,Normal,51.76,Average
BANKBARODA,Bank of Baroda,Financials,2024-03,,,,,,,Normal,Normal,Normal,46.48,Weak
BEL,Bharat Electronics Ltd,Industrials,2024-03,,,,,,,Normal,Normal,Normal,53.41,Average
BHARTIARTL,Bharti Airtel Ltd,Communication Services,2024-03,,,,,,,Normal,Normal,Normal,47.25,Weak
BHEL,"Bharat Heavy Electricals Limited
",Industrials,2024-03,,,,,,,Normal,Normal,Normal,46.49,Weak
BOSCHLTD,Bosch Ltd,Consumer Discretionary,2024-03,,,,,,,Normal,Normal,Normal,46.75,Weak
BPCL,Bharat Petroleum Corporation Ltd,Energy,2024-03,,,,,,,Normal,Normal,Normal,47.33,Weak
BRITANNIA,Britannia Industries Ltd,Consumer Staples,2024-03,,,,,,,Normal,Normal,Normal,46.74,Weak
CANBK,Canara Bank,Financials,2024-03,,,,,,,Normal,Normal,Normal,44.53,Weak
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,2024-03,,,,,,,Normal,Normal,Normal,46.02,Weak
CIPLA,"Cipla Ltd
",Healthcare,2024-03,,,,,,,Normal,Normal,Normal,47.95,Weak
