company_id,company_name,year,broad_sector,return_on_equity_pct,return_on_capital_employed_pct,net_profit_margin_pct,operating_profit_margin_pct,debt_to_equity,interest_coverage,icr_label,free_cash_flow_cr,revenue_cagr_3yr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,sales,net_profit,pe_ratio,pb_ratio,dividend_yield_pct,dividend_payout_ratio_pct,market_cap_crore,sprint3_composite_score,sector_relative_score,de_declining_flag
COALINDIA,Coal India Ltd,TTM,Materials,45.16982956605826,98.16700839187479,24.47836497349068,66.78424833247819,0.0788468512027076,11.51012891344383,Covered,13617.0,8.55,7.87,15.52,15.71,140328.0,34350.0,34.27,14.75,4.38,42.0,454024.84,65.96,100.0,False
INDIGO,Interglobe Aviation Ltd,TTM,Consumer Discretionary,892.568306010929,4953.540772532189,7.942361002144463,79.1987028610283,0.018579234972677595,19.970006591957812,Covered,9424.0,43.41,16.42,,,76476.0,6074.0,76.23,7.87,4.27,0.0,1040632.92,65.85,100.0,False
TCS,Tata Consultancy Services Ltd,TTM,Information Technology,50.944313673485176,60.2081007004365,19.440499519997463,26.813100499043962,0.0886406082507266,90.16603773584906,Covered,50429.0,9.55,9.94,8.6,9.44,252082.0,49006.0,78.69,6.08,1.62,58.0,461188.15,64.71,100.0,False
LICI,Life Insurance Corporation of India,TTM,Financials,49.44710986501021,39.05035832114759,4.627577541049831,2.8848149660866014,0.0,371.9375,Debt Free,853.0,7.39,7.37,72.56,,896106.0,41468.0,30.67,8.1,3.77,15.0,183583.67,62.94,100.0,False
EICHERMOT,Eicher Motors Ltd,TTM,Consumer Discretionary,22.172346910501524,20.206889081455806,24.972207594640455,26.165818266924113,0.023219728456636186,117.0,Covered,890.0,18.4,13.3,18.49,18.42,17091.0,4268.0,15.62,13.61,4.41,35.0,222391.83,60.53,100.0,False
ITC,"ITC Ltd
",TTM,Consumer Staples,27.851074395694365,32.63868466782516,27.722100219604712,35.456178878019564,0.004066731984914169,542.5,Covered,18742.0,7.4,8.75,5.96,5.92,75135.0,20829.0,47.85,3.24,4.26,84.0,332245.58,57.42,94.51,True
INFY,Infosys Ltd,TTM,Information Technology,29.788006718416632,32.906970717802544,17.30567292546941,23.842413180988576,0.09486358890553362,102.08254716981132,Covered,20117.0,9.56,12.0,10.72,11.43,159988.0,27687.0,35.99,8.97,4.1,73.0,1112279.92,57.38,82.68,True
DRREDDY,Dr Reddys Laboratories Ltd,TTM,Healthcare,19.74233736816026,21.361052353252248,17.44532325722886,26.61308399244292,0.07085722375592836,33.23550724637681,Covered,509.0,13.17,12.26,21.88,21.67,31229.0,5448.0,11.73,10.19,0.09,12.0,2441803.28,54.33,100.0,False
ABB,Abbott India Ltd,TTM,Industrials,32.46823465801568,36.541512427287145,21.183646554566433,25.502802505769868,0.022438496891051634,164.72727272727272,Covered,797.0,7.28,8.19,16.73,16.74,6066.0,1285.0,75.58,4.48,0.96,73.0,1536236.24,53.43,77.67,True
ICICIGI,ICICI Lombard General Insurance Company Ltd,TTM,Financials,15.7230643179025,145.22875816993462,10.806403158662718,85.5671430410712,0.0028676771814829987,-1662.6666666666667,Covered,486.0,13.29,15.13,16.09,14.42,23301.0,2518.0,49.0,7.86,3.46,28.0,1271789.21,52.96,94.23,True
