company_id,company_name,year,broad_sector,return_on_equity_pct,return_on_capital_employed_pct,net_profit_margin_pct,operating_profit_margin_pct,debt_to_equity,interest_coverage,icr_label,free_cash_flow_cr,revenue_cagr_3yr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,sales,net_profit,pe_ratio,pb_ratio,dividend_yield_pct,dividend_payout_ratio_pct,market_cap_crore,sprint3_composite_score,sector_relative_score,de_declining_flag
HAL,Hindustan Aeronautics Ltd,TTM,Industrials,3816.5829145728644,2590.993788819876,27.193939783013416,31.950953328625538,0.6180904522613065,383.0625,Covered,1814.0,8.16,7.76,24.41,24.77,31154.0,8472.0,71.89,3.65,2.77,31.0,2643616.86,70.48,100.0,False
COALINDIA,Coal India Ltd,TTM,Materials,45.16982956605826,98.16700839187479,24.47836497349068,66.78424833247819,0.0788468512027076,11.51012891344383,Covered,13617.0,8.55,7.87,15.52,15.71,140328.0,34350.0,34.27,14.75,4.38,42.0,454024.84,65.96,100.0,False
INDIGO,Interglobe Aviation Ltd,TTM,Consumer Discretionary,892.568306010929,4953.540772532189,7.942361002144463,79.1987028610283,0.018579234972677595,19.970006591957812,Covered,9424.0,43.41,16.42,,,76476.0,6074.0,76.23,7.87,4.27,0.0,1040632.92,65.85,100.0,False
LICI,Life Insurance Corporation of India,TTM,Financials,49.44710986501021,39.05035832114759,4.627577541049831,2.8848149660866014,0.0,371.9375,Debt Free,853.0,7.39,7.37,72.56,,896106.0,41468.0,30.67,8.1,3.77,15.0,183583.67,62.94,100.0,False
NESTLEIND,Nestle India Ltd,TTM,Consumer Staples,117.75449101796407,143.14789687924016,16.794703325583747,23.88557565955726,0.10329341317365269,44.45132743362832,Covered,2938.0,5.4,8.19,9.8,9.1,19786.0,3323.0,54.96,14.34,3.85,79.0,1677775.19,61.25,100.0,True
EICHERMOT,Eicher Motors Ltd,TTM,Consumer Discretionary,22.172346910501524,20.206889081455806,24.972207594640455,26.165818266924113,0.023219728456636186,117.0,Covered,890.0,18.4,13.3,18.49,18.42,17091.0,4268.0,15.62,13.61,4.41,35.0,222391.83,60.53,100.0,False
TRENT,Trent Ltd,TTM,Consumer Discretionary,36.30776794493609,22.33293248582718,12.039933444259567,15.667221297836939,0.4309242871189774,16.908163265306122,Covered,841.0,49.49,33.94,76.37,76.23,15025.0,1809.0,8.65,11.82,3.46,8.0,571322.04,58.92,93.41,True
INFY,Infosys Ltd,TTM,Information Technology,29.788006718416632,32.906970717802544,17.30567292546941,23.842413180988576,0.09486358890553362,102.08254716981132,Covered,20117.0,9.56,12.0,10.72,11.43,159988.0,27687.0,35.99,8.97,4.1,73.0,1112279.92,57.38,82.68,True
LTIM,LTIMindtree Ltd,TTM,Information Technology,22.904386052552702,25.207116664403095,12.319211398098522,17.32877265749145,0.10345688880007993,26.357142857142858,Covered,1752.0,12.45,27.83,24.65,12.1,37129.0,4574.0,64.52,2.38,4.43,42.0,1347046.9,55.3,74.49,False
TATAMOTORS,Tata Motors Ltd,TTM,Consumer Discretionary,37.45613415294755,16.79050889790821,7.684389209677748,13.747412290568809,1.2631244259167667,7.591222712362855,Covered,45133.0,16.48,11.01,,,440061.0,33816.0,67.07,0.93,3.65,7.0,1504106.64,55.07,75.64,True
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,TTM,Financials,13.576787656460265,2.8134781808138465,431.9676860934795,89.67109059434507,0.0011613545449517945,3804.5,Covered,1469.0,52.99,31.84,19.44,19.88,1733.0,7486.0,37.73,9.38,3.37,20.0,2191568.13,54.71,100.0,True
ICICIBANK,ICICI Bank Ltd,TTM,Financials,17.99027109750765,5.11888931768417,29.031132477804057,69.63240303293806,6.445624336310825,1.2346170089474253,Covered,12547.0,23.69,16.31,36.1,36.08,180551.0,52416.0,25.76,6.2,3.43,16.0,1319221.86,53.73,97.09,True
ICICIGI,ICICI Lombard General Insurance Company Ltd,TTM,Financials,15.7230643179025,145.22875816993462,10.806403158662718,85.5671430410712,0.0028676771814829987,-1662.6666666666667,Covered,486.0,13.29,15.13,16.09,14.42,23301.0,2518.0,49.0,7.86,3.46,28.0,1271789.21,52.96,94.23,True
BOSCHLTD,Bosch Ltd,TTM,Consumer Discretionary,20.639920424403183,13.756919771957365,12.151603498542274,12.921282798833818,0.003232758620689655,237.84615384615384,Covered,1536.0,13.33,11.75,26.24,26.3,17150.0,2084.0,58.43,6.47,4.23,44.0,2599556.05,49.76,51.14,True
BAJAJ-AUTO,Bajaj Auto Ltd,TTM,Consumer Discretionary,26.61418410330778,27.207358942799765,15.073619631901842,18.697341513292436,0.06601754022512257,65.10975609756098,Covered,6486.0,13.84,10.32,7.18,7.88,48900.0,7371.0,29.91,9.83,3.59,29.0,653817.3,48.95,47.4,False
RELIANCE,"Reliance Industries Ltd
",TTM,Energy,9.958650553699458,8.915648413697072,8.505827600075758,17.4634351877664,0.5784524141094746,7.611937172774869,Covered,45207.0,10.6,9.51,14.92,11.95,939838.0,79941.0,58.34,3.25,4.21,10.0,432472.71,48.28,76.8,True
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,TTM,Healthcare,15.094161810671148,15.627194096293751,22.09787707720442,27.94585354218017,0.051423814535002436,65.39748953974896,Covered,11372.0,9.18,8.91,21.65,23.52,50308.0,11117.0,37.9,6.71,3.88,34.0,1339586.09,48.17,62.92,True
HDFCBANK,HDFC Bank Ltd,TTM,Financials,14.33974005030719,4.801033923800871,21.934095592391998,62.61253046908717,6.808786667718385,1.4107329968428333,Covered,35669.0,34.27,21.91,21.46,12.72,329022.0,72168.0,49.42,4.4,4.33,23.0,808359.03,47.91,75.48,True
