company_id,company_name,peer_group_name,metric,value,percentile_rank,year
MARUTI,Maruti Suzuki India Ltd,Automobiles,roe,,0.0,2024-09
TATAMOTORS,Tata Motors Ltd,Automobiles,roe,,0.0,2024-09
M&M,"Mahindra & Mahindra Ltd
",Automobiles,roe,,0.0,2024-09
BAJAJ-AUTO,Bajaj Auto Ltd,Automobiles,roe,,0.0,2024-09
EICHERMOT,Eicher Motors Ltd,Automobiles,roe,,0.0,2024-09
HEROMOTOCO,"Hero MotoCorp Ltd
",Automobiles,roe,,0.0,2024-09
TVSMOTOR,TVS Motor Company Ltd,Automobiles,roe,,0.0,2024-09
MARUTI,Maruti Suzuki India Ltd,Automobiles,roce,,0.0,2024-09
TATAMOTORS,Tata Motors Ltd,Automobiles,roce,,0.0,2024-09
M&M,"Mahindra & Mahindra Ltd
",Automobiles,roce,,0.0,2024-09
BAJAJ-AUTO,Bajaj Auto Ltd,Automobiles,roce,,0.0,2024-09
EICHERMOT,Eicher Motors Ltd,Automobiles,roce,,0.0,2024-09
HEROMOTOCO,"Hero MotoCorp Ltd
",Automobiles,roce,,0.0,2024-09
TVSMOTOR,TVS Motor Company Ltd,Automobiles,roce,,0.0,2024-09
MARUTI,Maruti Suzuki India Ltd,Automobiles,npm,,0.0,2024-09
TATAMOTORS,Tata Motors Ltd,Automobiles,npm,,0.0,2024-09
M&M,"Mahindra & Mahindra Ltd
",Automobiles,npm,,0.0,2024-09
BAJAJ-AUTO,Bajaj Auto Ltd,Automobiles,npm,,0.0,2024-09
EICHERMOT,Eicher Motors Ltd,Automobiles,npm,,0.0,2024-09
HEROMOTOCO,"Hero MotoCorp Ltd
",Automobiles,npm,,0.0,2024-09
TVSMOTOR,TVS Motor Company Ltd,Automobiles,npm,,0.0,2024-09
MARUTI,Maruti Suzuki India Ltd,Automobiles,debt_to_equity,,0.0,2024-09
TATAMOTORS,Tata Motors Ltd,Automobiles,debt_to_equity,,0.0,2024-09
M&M,"Mahindra & Mahindra Ltd
",Automobiles,debt_to_equity,,0.0,2024-09
BAJAJ-AUTO,Bajaj Auto Ltd,Automobiles,debt_to_equity,,0.0,2024-09
EICHERMOT,Eicher Motors Ltd,Automobiles,debt_to_equity,,0.0,2024-09
HEROMOTOCO,"Hero MotoCorp Ltd
",Automobiles,debt_to_equity,,0.0,2024-09
TVSMOTOR,TVS Motor Company Ltd,Automobiles,debt_to_equity,,0.0,2024-09
MARUTI,Maruti Suzuki India Ltd,Automobiles,fcf,,0.0,2024-09
TATAMOTORS,Tata Motors Ltd,Automobiles,fcf,,0.0,2024-09
M&M,"Mahindra & Mahindra Ltd
",Automobiles,fcf,,0.0,2024-09
BAJAJ-AUTO,Bajaj Auto Ltd,Automobiles,fcf,,0.0,2024-09
EICHERMOT,Eicher Motors Ltd,Automobiles,fcf,,0.0,2024-09
HEROMOTOCO,"Hero MotoCorp Ltd
",Automobiles,fcf,,0.0,2024-09
TVSMOTOR,TVS Motor Company Ltd,Automobiles,fcf,,0.0,2024-09
MARUTI,Maruti Suzuki India Ltd,Automobiles,pat_cagr_5yr,,0.0,2024-09
TATAMOTORS,Tata Motors Ltd,Automobiles,pat_cagr_5yr,,0.0,2024-09
