company_id,company_name,year,broad_sector,return_on_equity_pct,return_on_capital_employed_pct,net_profit_margin_pct,operating_profit_margin_pct,debt_to_equity,interest_coverage,icr_label,free_cash_flow_cr,revenue_cagr_3yr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,sales,net_profit,pe_ratio,pb_ratio,dividend_yield_pct,dividend_payout_ratio_pct,market_cap_crore,sprint3_composite_score,sector_relative_score,de_declining_flag
INDIGO,Interglobe Aviation Ltd,TTM,Consumer Discretionary,892.568306010929,4953.540772532189,7.942361002144463,79.1987028610283,0.018579234972677595,19.970006591957812,Covered,9424.0,43.41,16.42,,,76476.0,6074.0,76.23,7.87,4.27,0.0,1040632.92,65.85,100.0,False
ADANIPOWER,Adani Power Ltd,TTM,Energy,48.27674122146251,18.385823227581948,23.213174748398902,38.36230558096981,0.8023177656738903,7.13724884080371,Covered,17651.0,25.4,15.6,,,54650.0,12686.0,44.57,9.91,1.65,0.0,1372183.55,64.75,100.0,True
LT,Larsen & Toubro Ltd,TTM,Industrials,77.66510140873214,118.53411200144868,6.760688376220796,12.899728316609524,0.10345688880007993,3.6953290870488322,Covered,20445.0,15.13,10.43,8.19,7.58,238881.0,16150.0,30.8,2.48,1.26,36.0,1124597.5,62.28,98.11,False
EICHERMOT,Eicher Motors Ltd,TTM,Consumer Discretionary,22.172346910501524,20.206889081455806,24.972207594640455,26.165818266924113,0.023219728456636186,117.0,Covered,890.0,18.4,13.3,18.49,18.42,17091.0,4268.0,15.62,13.61,4.41,35.0,222391.83,60.53,100.0,False
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,TTM,Consumer Discretionary,34.39628482972136,42.82674772036474,26.936026936026934,33.78226711560045,0.018575851393188854,105.625,Covered,667.0,33.34,14.5,18.53,20.11,4455.0,1200.0,60.44,5.74,1.08,47.0,1258520.29,59.92,98.03,True
TRENT,Trent Ltd,TTM,Consumer Discretionary,36.30776794493609,22.33293248582718,12.039933444259567,15.667221297836939,0.4309242871189774,16.908163265306122,Covered,841.0,49.49,33.94,76.37,76.23,15025.0,1809.0,8.65,11.82,3.46,8.0,571322.04,58.92,93.41,True
INFY,Infosys Ltd,TTM,Information Technology,29.788006718416632,32.906970717802544,17.30567292546941,23.842413180988576,0.09486358890553362,102.08254716981132,Covered,20117.0,9.56,12.0,10.72,11.43,159988.0,27687.0,35.99,8.97,4.1,73.0,1112279.92,57.38,82.68,True
LTIM,LTIMindtree Ltd,TTM,Information Technology,22.904386052552702,25.207116664403095,12.319211398098522,17.32877265749145,0.10345688880007993,26.357142857142858,Covered,1752.0,12.45,27.83,24.65,12.1,37129.0,4574.0,64.52,2.38,4.43,42.0,1347046.9,55.3,74.49,False
DRREDDY,Dr Reddys Laboratories Ltd,TTM,Healthcare,19.74233736816026,21.361052353252248,17.44532325722886,26.61308399244292,0.07085722375592836,33.23550724637681,Covered,509.0,13.17,12.26,21.88,21.67,31229.0,5448.0,11.73,10.19,0.09,12.0,2441803.28,54.33,100.0,False
ONGC,Oil & Natural Gas Corpn Ltd,TTM,Energy,16.940398136885513,15.108995188179117,6.424834596944863,13.036402335530612,0.45444863084819176,7.967598475222363,Covered,42060.0,10.27,10.67,29.87,29.67,658694.0,42320.0,18.15,10.36,1.11,31.0,390111.05,54.25,96.36,True
