company_id,year,issue,category,explanation
ABB,2012-12,DEBT_FREE,data_source_issue,Interest is zero so ICR is stored as None and label Debt Free
ABB,2012-12,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ABB,2012-12,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ABB,2014-03,DEBT_FREE,data_source_issue,Interest is zero so ICR is stored as None and label Debt Free
ABB,2014-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ABB,2014-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ABB,2015-03,DEBT_FREE,data_source_issue,Interest is zero so ICR is stored as None and label Debt Free
ABB,2015-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ABB,2015-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ABB,2016-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ABB,2016-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ABB,2017-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ABB,2017-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ABB,2018-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ABB,2018-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ABB,2019-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ABB,2019-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ABB,2020-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ABB,2020-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ABB,2021-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ABB,2021-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ABB,2022-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ABB,2022-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ABB,2023-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ABB,2023-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ABB,2024-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIENSOL,2014-03,DEBT_FREE,data_source_issue,Interest is zero so ICR is stored as None and label Debt Free
ADANIENSOL,2014-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIENSOL,2014-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIENSOL,2015-03,HIGH_LEVERAGE,formula_discrepancy,D/E > 5 for non-financial company
ADANIENSOL,2015-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIENSOL,2015-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIENSOL,2016-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIENSOL,2017-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIENSOL,2018-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIENSOL,2021-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIENSOL,TTM,pat_cagr_10yr_flag,TURNAROUND,CAGR edge case handled and documented
ADANIENSOL,TTM,eps_cagr_10yr_flag,ZERO_BASE,CAGR edge case handled and documented
ADANIENT,2013-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIENT,2013-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIENT,2014-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIENT,2016-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIENT,2016-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIENT,2017-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIENT,2017-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIENT,2018-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIENT,2018-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIENT,2019-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIENT,2019-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIENT,2020-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIENT,2020-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIENT,2021-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIENT,2021-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIENT,2022-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIENT,2022-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIENT,2023-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIENT,2024-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIGREEN,2017-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIGREEN,2017-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIGREEN,2018-03,HIGH_LEVERAGE,formula_discrepancy,D/E > 5 for non-financial company
ADANIGREEN,2018-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIGREEN,2018-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIGREEN,2019-03,HIGH_LEVERAGE,formula_discrepancy,D/E > 5 for non-financial company
ADANIGREEN,2019-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIGREEN,2019-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIGREEN,2020-03,HIGH_LEVERAGE,formula_discrepancy,D/E > 5 for non-financial company
ADANIGREEN,2020-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIGREEN,2020-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIGREEN,2021-03,HIGH_LEVERAGE,formula_discrepancy,D/E > 5 for non-financial company
ADANIGREEN,2021-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIGREEN,2021-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIGREEN,2022-03,HIGH_LEVERAGE,formula_discrepancy,D/E > 5 for non-financial company
ADANIGREEN,2022-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIGREEN,2023-03,HIGH_LEVERAGE,formula_discrepancy,D/E > 5 for non-financial company
ADANIGREEN,2023-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIGREEN,2024-03,HIGH_LEVERAGE,formula_discrepancy,D/E > 5 for non-financial company
ADANIGREEN,2024-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIGREEN,TTM,revenue_cagr_10yr_flag,INSUFFICIENT,CAGR edge case handled and documented
ADANIGREEN,TTM,pat_cagr_5yr_flag,TURNAROUND,CAGR edge case handled and documented
ADANIGREEN,TTM,pat_cagr_10yr_flag,INSUFFICIENT,CAGR edge case handled and documented
ADANIGREEN,TTM,eps_cagr_5yr_flag,ZERO_BASE,CAGR edge case handled and documented
ADANIGREEN,TTM,eps_cagr_10yr_flag,INSUFFICIENT,CAGR edge case handled and documented
ADANIPORTS,2013-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIPORTS,2020-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIPORTS,2022-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIPORTS,2022-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIPORTS,2023-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIPORTS,2023-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIPOWER,2013-03,HIGH_LEVERAGE,formula_discrepancy,D/E > 5 for non-financial company
ADANIPOWER,2013-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIPOWER,2013-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIPOWER,2014-03,HIGH_LEVERAGE,formula_discrepancy,D/E > 5 for non-financial company
ADANIPOWER,2014-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIPOWER,2014-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIPOWER,2015-03,HIGH_LEVERAGE,formula_discrepancy,D/E > 5 for non-financial company
ADANIPOWER,2015-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIPOWER,2015-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIPOWER,2016-03,HIGH_LEVERAGE,formula_discrepancy,D/E > 5 for non-financial company
ADANIPOWER,2016-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIPOWER,2016-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIPOWER,2017-03,HIGH_LEVERAGE,formula_discrepancy,D/E > 5 for non-financial company
ADANIPOWER,2017-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIPOWER,2017-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIPOWER,2018-03,HIGH_LEVERAGE,formula_discrepancy,D/E > 5 for non-financial company
ADANIPOWER,2018-03,ROCE_MISMATCH,version_difference,Computed ROCE differs from source ROCE by >5%
ADANIPOWER,2018-03,ROE_MISMATCH,data_source_issue,Source ROE appears inconsistent; ratio engine value used for analytics
ADANIPOWER,2019-03,HIGH_LEVERAGE,formula_discrepancy,D/E > 5 for non-financial company
