id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,icr_warning_flag,net_debt,asset_turnover,free_cash_flow_cr,capex_cr,capex_intensity_pct,capex_intensity_label,fcf_conversion_pct,earnings_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,cfo_sign,cfi_sign,cff_sign,capital_allocation_label,source_roce_percentage,source_roe_percentage,broad_sector,revenue_cagr_3yr,revenue_cagr_3yr_flag,revenue_cagr_5yr,revenue_cagr_5yr_flag,revenue_cagr_10yr,revenue_cagr_10yr_flag,pat_cagr_3yr,pat_cagr_3yr_flag,pat_cagr_5yr,pat_cagr_5yr_flag,pat_cagr_10yr,pat_cagr_10yr_flag,eps_cagr_3yr,eps_cagr_3yr_flag,eps_cagr_5yr,eps_cagr_5yr_flag,eps_cagr_10yr,eps_cagr_10yr_flag,cfo_quality_score,cfo_quality_label,score_roe,score_opm,score_debt,score_icr,score_fcf,composite_quality_score
,INDIGO,2015-03,9.364452423698385,86.33393177737881,4939.39393939394,38552.63157894737,2137.7049180327867,0.15151515151515152,0,30.470886075949366,Covered,0,3.0,228.27868852459017,1444.0,940.0,6.75,Moderate,12.01,42481.0,83.0,4.0,2384.0,+,-,-,Reinvestor,24.5,,Consumer Discretionary,,,,,,,,,,,,,,,,,,,0.82,Moderate,31.78809240533956,80.13440701599738,99.9544443885779,43.4819472586301,33.92718215492516,57.27
,ICICIGI,2015-03,13.816721776098253,105.24326877657062,20.27027027027027,152.52945252945253,3.9942646456370343,0.0,0,4.486895161290323,Covered,0,-10200.0,0.2890891711047385,73.0,171.0,4.04,Moderate,1.64,13.0,15.0,0.0,-98.0,-,+,-,Other,22.5,17.0,Financials,,,,,,,,,,,,,,,,,,,3.49,High Quality,5.871386255675345,92.33500935911196,100.0,43.24582575456669,33.52918635841103,53.13
,HDFCLIFE,2015-03,2.8881131728826013,96.78853573397024,30.932703659976386,1034.9468713105077,1.1340518547374798,0.0,0,333.46835443037975,Covered,0,-67024.0,0.3926618476676911,945.0,3514.0,12.91,Capital Intensive,3.59,4.0,18.0,0.0,4459.0,+,-,-,Reinvestor,6.61,11.4,Financials,,,,,,,,,,,,,,,,,,,2.05,High Quality,5.927561942970193,86.87988230868353,100.0,46.23534330892253,33.78232445801739,52.55
,ICICIPRULI,2017-03,4.447852760736196,95.22424370636767,26.256634405245084,561.2238526381518,1.3483938721029975,0.0,0,277.03846153846155,Covered,0,-121581.0,0.3031561395210877,3434.0,696.0,1.84,Asset Light,9.54,12.0,63.0,0.0,4130.0,+,-,-,Reinvestor,8.75,8.07,Financials,,,,,,,,,,,,,,,,,,,-16.17,Accrual Risk,5.902925783978903,85.8705764309524,100.0,45.72255406005236,34.50487116664151,52.41
,HDFCLIFE,2017-03,2.8942473977877117,96.82513786014944,23.183481442760062,774.5164662833246,0.9327318422242553,0.0,0,213.50359712230215,Covered,0,-91723.0,0.32227094440413473,1053.0,5177.0,16.89,Capital Intensive,3.55,4.0,25.0,0.0,6230.0,+,-,-,Reinvestor,6.61,11.4,Financials,,,,,,,,,,,,,,,,,,,2.05,High Quality,5.886734688239307,86.90349857753759,100.0,45.145200573604455,33.8136764244824,52.39
,HDFCLIFE,2018-03,3.4314941103533787,96.67079975201489,23.52816153028693,661.8916046758767,1.0019641030746813,0.0,0,110.59929078014184,Covered,0,-106590.0,0.2919906229917725,2318.0,4421.0,13.7,Capital Intensive,7.43,6.0,25.0,0.0,6739.0,+,-,-,Reinvestor,6.61,11.4,Financials,,,,,,,,,,,,,,,,,,,2.05,High Quality,5.888550656518403,86.8039171969837,100.0,44.210089425054676,34.18090084650309,52.3
,ICICIPRULI,2018-03,4.169241862381541,95.44190358467245,24.627319744447824,563.0970489808336,1.141595977971922,0.0,0,280.81060606060606,Covered,0,-138537.0,0.27381380492035623,301.0,5389.0,13.88,Capital Intensive,0.81,11.0,59.0,0.0,5690.0,+,-,-,Reinvestor,8.75,8.07,Financials,,,,,,,,,,,,,,,,,,,-16.17,Accrual Risk,5.8943416392959245,86.01101401590637,100.0,45.756832260080934,33.59537384317049,52.26
,HDFCLIFE,2016-03,4.503610605810043,94.74119398048619,26.32935868514341,552.4331292297776,1.067359949832776,0.0,0,159.1851851851852,Covered,0,-74144.0,0.23700094063545152,1725.0,3962.0,21.84,Capital Intensive,10.04,4.0,22.0,0.0,5687.0,+,-,-,Reinvestor,6.61,11.4,Financials,,,,,,,,,,,,,,,,,,,2.05,High Quality,5.90330893632856,85.55890513239324,100.0,44.65159875673756,34.008755326931336,52.09
,INDIGO,2016-03,12.304832713754648,80.39653035935564,1534.775888717156,9076.419213973799,1013.265306122449,0.061823802163833076,0,25.23495145631068,Covered,0,-116.0,82.34693877551021,1779.0,1337.0,8.28,Capital Intensive,13.71,55.0,27.0,8.0,3116.0,+,-,-,Reinvestor,24.5,,Consumer Discretionary,,,,,,,,,,,,,,,,,,,0.82,Moderate,13.85065242490664,76.30350201621651,99.98141162068711,43.43436731751838,34.02443131016384,52.04
,ICICIPRULI,2014-03,7.131761695906433,93.12865497076024,35.614875655943415,463.99726214921293,1.915948646193878,0.0,0,158.06976744186048,Covered,0,-80101.0,0.2686501215111569,3630.0,6012.0,27.47,Capital Intensive,17.81,11.0,70.0,0.0,-2382.0,-,+,-,Other,8.75,8.07,Financials,,,,,,,,,,,,,,,,,,,-16.17,Accrual Risk,5.952230254629715,84.5184695411683,100.0,44.6414627419861,34.56176917985579,52.0
